date,crop,market,variety,grade,min_price,max_price,modal_price,price_unit,location,year,month,day_of_week
2021-01-16,Pepper,Coimbatore,Black Pepper,Local,50281.31,56404.73,53103.77,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,5
2021-01-17,Pepper,Udumalpet,Pepper,Local,51101.94,56755.53,54352.01,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,6
2021-01-18,Pepper,Coimbatore,Pepper,Local,51631.73,57163.61,54104.8,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,0
2021-01-19,Pepper,Coimbatore,Pepper,Local,50821.79,57388.17,53893.68,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,1
2021-01-20,Pepper,Udumalpet,Black Pepper,Local,50432.73,55520.62,52966.46,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,2
2021-01-21,Pepper,Mettupalayam,Pepper,Local,53090.54,59324.5,55679.88,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,3
2021-01-22,Pepper,Pollachi,Black Pepper,Local,49825.58,56019.61,52963.81,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,4
2021-01-23,Pepper,Sulur,Pepper,Local,51476.14,56791.41,54083.47,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,5
2021-01-24,Pepper,Udumalpet,Pepper,Local,50769.84,57352.82,53569.77,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,6
2021-01-25,Pepper,Udumalpet,Pepper,Local,51404.37,57859.21,54489.93,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,0
2021-01-26,Pepper,Udumalpet,Black Pepper,Local,52002.32,57105.54,54471.8,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,1
2021-01-27,Pepper,Udumalpet,Pepper,Local,49941.36,56828.98,53250.44,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,2
2021-01-28,Pepper,Mettupalayam,Pepper,Local,50775.04,57274.94,53830.44,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,3
2021-01-29,Pepper,Coimbatore,Black Pepper,Local,50914.52,56755.56,54225.25,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,4
2021-01-30,Pepper,Pollachi,Black Pepper,Local,54893.56,60932.05,57312.48,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,5
2021-01-31,Pepper,Pollachi,Pepper,Local,53953.54,59312.97,56414.9,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,1,6
2021-02-01,Pepper,Mettupalayam,Pepper,Local,51232.31,56884.56,53805.92,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,0
2021-02-02,Pepper,Udumalpet,Black Pepper,Local,50783.75,57627.44,54025.61,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,1
2021-02-03,Pepper,Pollachi,Pepper,Local,52354.39,57917.6,54826.61,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,2
2021-02-04,Pepper,Sulur,Pepper,Local,54159.16,59728.32,56658.84,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,3
2021-02-05,Pepper,Pollachi,Black Pepper,Local,52116.98,57968.87,54521.7,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,4
2021-02-06,Pepper,Udumalpet,Pepper,Local,52117.91,57760.08,55184.39,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,5
2021-02-07,Pepper,Coimbatore,Black Pepper,Local,52384.82,58226.59,55441.84,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,6
2021-02-08,Pepper,Pollachi,Black Pepper,Local,52542.74,58960.38,55874.74,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,0
2021-02-09,Pepper,Sulur,Black Pepper,Local,53703.52,59569.04,55866.78,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,1
2021-02-10,Pepper,Pollachi,Pepper,Local,51488.12,57871.54,54356.2,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,2
2021-02-11,Pepper,Sulur,Pepper,Local,53080.02,59431.67,56132.43,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,3
2021-02-12,Pepper,Sulur,Black Pepper,Local,53512.29,59178.94,56704.77,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,4
2021-02-13,Pepper,Sulur,Pepper,Local,52552.4,58679.19,55873.81,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,5
2021-02-14,Pepper,Coimbatore,Black Pepper,Local,52688.36,58416.1,55228.02,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,6
2021-02-15,Pepper,Pollachi,Black Pepper,Local,51952.88,58284.88,54843.55,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,0
2021-02-16,Pepper,Udumalpet,Pepper,Local,52418.04,58728.73,55500.45,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,1
2021-02-17,Pepper,Mettupalayam,Pepper,Local,54042.1,60450.28,57043.28,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,2
2021-02-18,Pepper,Sulur,Pepper,Local,53542.15,59623.48,56537.74,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,3
2021-02-19,Pepper,Sulur,Black Pepper,Local,53501.29,58922.15,56316.38,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,4
2021-02-20,Pepper,Coimbatore,Pepper,Local,53562.46,59124.94,56595.22,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,5
2021-02-21,Pepper,Udumalpet,Pepper,Local,52673.63,58879.54,55127.05,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,6
2021-02-22,Pepper,Mettupalayam,Pepper,Local,52257.57,58863.53,55295.8,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,0
2021-02-23,Pepper,Pollachi,Pepper,Local,54208.64,60008.31,56977.27,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,1
2021-02-24,Pepper,Coimbatore,Black Pepper,Local,52412.69,58185.25,55749.43,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,2
2021-02-25,Pepper,Coimbatore,Black Pepper,Local,54513.07,59297.81,56861.96,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,3
2021-02-26,Pepper,Coimbatore,Black Pepper,Local,52269.85,58123.65,55496.29,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,4
2021-02-27,Pepper,Sulur,Pepper,Local,55283.41,61299.48,58341.61,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,5
2021-02-28,Pepper,Pollachi,Black Pepper,Local,52529.85,58466.82,55398.28,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,2,6
2021-03-01,Pepper,Sulur,Black Pepper,Local,53940.77,59951.86,56357.04,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,0
2021-03-02,Pepper,Coimbatore,Black Pepper,Local,51707.15,57472.57,54985.47,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,1
2021-03-03,Pepper,Udumalpet,Pepper,Local,54037.83,60545.03,57005.9,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,2
2021-03-04,Pepper,Coimbatore,Black Pepper,Local,54147.74,59915.47,57449.5,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,3
2021-03-05,Pepper,Coimbatore,Black Pepper,Local,53520.87,60148.82,56403.32,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,4
2021-03-06,Pepper,Udumalpet,Pepper,Local,53928.8,60165.65,56875.85,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,5
2021-03-07,Pepper,Coimbatore,Pepper,Local,54238.02,59632.7,56585.38,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,6
2021-03-08,Pepper,Udumalpet,Pepper,Local,54403.85,60605.23,56840.01,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,0
2021-03-09,Pepper,Sulur,Pepper,Local,52891.59,58945.85,55649.06,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,1
2021-03-10,Pepper,Udumalpet,Black Pepper,Local,54877.76,61370.52,58203.86,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,2
2021-03-11,Pepper,Mettupalayam,Pepper,Local,54623.64,60528.24,57882.16,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,3
2021-03-12,Pepper,Coimbatore,Pepper,Local,57001.89,62952.91,59368.92,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,4
2021-03-13,Pepper,Pollachi,Black Pepper,Local,54454.29,60921.91,57360.15,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,5
2021-03-14,Pepper,Coimbatore,Black Pepper,Local,55499.8,61973.11,58205.41,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,6
2021-03-15,Pepper,Sulur,Black Pepper,Local,53082.47,59656.95,56237.0,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,0
2021-03-16,Pepper,Udumalpet,Black Pepper,Local,55682.17,60414.45,57816.02,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,1
2021-03-17,Pepper,Coimbatore,Pepper,Local,54349.84,59391.28,56649.17,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,2
2021-03-18,Pepper,Udumalpet,Black Pepper,Local,54667.6,61560.95,57777.01,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,3
2021-03-19,Pepper,Mettupalayam,Pepper,Local,55077.61,60318.8,57555.31,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,4
2021-03-20,Pepper,Mettupalayam,Pepper,Local,53778.76,59971.14,57060.68,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,5
2021-03-21,Pepper,Pollachi,Black Pepper,Local,55224.78,60596.59,57446.26,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,6
2021-03-22,Pepper,Coimbatore,Black Pepper,Local,54384.74,60986.33,57188.46,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,0
2021-03-23,Pepper,Pollachi,Pepper,Local,55956.71,61139.29,58275.88,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,1
2021-03-24,Pepper,Coimbatore,Black Pepper,Local,53790.68,60065.3,56890.58,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,2
2021-03-25,Pepper,Coimbatore,Black Pepper,Local,55239.64,60271.65,57839.7,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,3
2021-03-26,Pepper,Mettupalayam,Pepper,Local,54066.65,60016.9,56592.27,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,4
2021-03-27,Pepper,Mettupalayam,Black Pepper,Local,51975.76,58236.9,55107.29,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,5
2021-03-28,Pepper,Mettupalayam,Black Pepper,Local,55337.58,61042.55,57629.39,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,6
2021-03-29,Pepper,Pollachi,Black Pepper,Local,54066.13,60846.7,57379.96,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,0
2021-03-30,Pepper,Pollachi,Black Pepper,Local,53403.73,59961.29,56614.52,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,1
2021-03-31,Pepper,Sulur,Pepper,Local,54218.33,59627.38,57206.13,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,3,2
2021-04-01,Pepper,Udumalpet,Black Pepper,Local,53442.51,58718.39,56178.83,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,3
2021-04-02,Pepper,Pollachi,Black Pepper,Local,54223.51,60968.99,57449.0,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,4
2021-04-03,Pepper,Udumalpet,Black Pepper,Local,52285.7,58942.19,55496.81,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,5
2021-04-04,Pepper,Coimbatore,Black Pepper,Local,54973.11,61095.35,57791.5,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,6
2021-04-05,Pepper,Coimbatore,Black Pepper,Local,54541.21,60031.65,57109.54,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,0
2021-04-06,Pepper,Coimbatore,Pepper,Local,54550.98,61218.09,57897.43,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,1
2021-04-07,Pepper,Sulur,Pepper,Local,52918.93,58466.78,56007.61,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,2
2021-04-08,Pepper,Mettupalayam,Black Pepper,Local,56757.7,61965.17,59115.93,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,3
2021-04-09,Pepper,Coimbatore,Pepper,Local,51896.84,58206.1,54870.79,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,4
2021-04-10,Pepper,Pollachi,Pepper,Local,53026.35,59232.62,55901.54,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,5
2021-04-11,Pepper,Coimbatore,Pepper,Local,54048.61,59648.68,56702.52,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,6
2021-04-12,Pepper,Sulur,Black Pepper,Local,56842.13,62433.1,59165.67,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,0
2021-04-13,Pepper,Coimbatore,Black Pepper,Local,52941.71,59217.96,55791.78,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,1
2021-04-14,Pepper,Sulur,Pepper,Local,55429.43,60469.62,57620.76,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,2
2021-04-15,Pepper,Mettupalayam,Black Pepper,Local,58687.85,64540.43,60961.71,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,3
2021-04-16,Pepper,Mettupalayam,Pepper,Local,54252.96,59930.05,57505.98,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,4
2021-04-17,Pepper,Mettupalayam,Pepper,Local,54878.41,61469.02,57648.07,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,5
2021-04-18,Pepper,Sulur,Pepper,Local,52607.72,58336.43,55707.51,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,6
2021-04-19,Pepper,Udumalpet,Pepper,Local,55280.52,61229.67,58498.03,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,0
2021-04-20,Pepper,Coimbatore,Pepper,Local,53768.58,59642.76,56334.64,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,1
2021-04-21,Pepper,Udumalpet,Black Pepper,Local,55957.59,62399.37,58992.86,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,2
2021-04-22,Pepper,Coimbatore,Black Pepper,Local,54797.8,61102.44,58013.03,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,3
2021-04-23,Pepper,Mettupalayam,Black Pepper,Local,53737.8,59892.25,56933.17,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,4
2021-04-24,Pepper,Udumalpet,Pepper,Local,52780.92,58763.75,56036.85,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,5
2021-04-25,Pepper,Udumalpet,Pepper,Local,54086.6,60889.26,57082.31,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,6
2021-04-26,Pepper,Sulur,Black Pepper,Local,55279.68,60497.8,57864.65,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,0
2021-04-27,Pepper,Udumalpet,Pepper,Local,54899.79,60595.04,57336.87,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,1
2021-04-28,Pepper,Pollachi,Pepper,Local,55151.97,60766.01,57510.78,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,2
2021-04-29,Pepper,Udumalpet,Pepper,Local,53622.87,60436.05,56786.11,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,3
2021-04-30,Pepper,Pollachi,Pepper,Local,53417.15,58144.32,55690.85,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,4,4
2021-05-01,Pepper,Mettupalayam,Pepper,Local,53956.43,59244.4,56681.93,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,5
2021-05-02,Pepper,Sulur,Pepper,Local,53985.85,60440.0,57016.31,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,6
2021-05-03,Pepper,Sulur,Black Pepper,Local,52034.33,57252.42,54838.44,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,0
2021-05-04,Pepper,Pollachi,Black Pepper,Local,52959.98,59174.54,55621.78,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,1
2021-05-05,Pepper,Mettupalayam,Pepper,Local,53251.96,59601.23,56034.61,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,2
2021-05-06,Pepper,Pollachi,Black Pepper,Local,55900.42,61640.19,58309.28,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,3
2021-05-07,Pepper,Sulur,Pepper,Local,54981.95,59819.77,57213.96,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,4
2021-05-08,Pepper,Coimbatore,Black Pepper,Local,53441.13,58590.71,55867.37,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,5
2021-05-09,Pepper,Udumalpet,Black Pepper,Local,53941.57,60268.54,56732.92,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,6
2021-05-10,Pepper,Udumalpet,Black Pepper,Local,52871.88,59169.62,55849.21,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,0
2021-05-11,Pepper,Pollachi,Black Pepper,Local,53183.28,59362.35,56407.02,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,1
2021-05-12,Pepper,Coimbatore,Pepper,Local,54024.15,59446.22,56196.07,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,2
2021-05-13,Pepper,Mettupalayam,Black Pepper,Local,52656.97,59577.95,55852.72,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,3
2021-05-14,Pepper,Udumalpet,Pepper,Local,53720.67,59898.89,56076.27,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,4
2021-05-15,Pepper,Coimbatore,Black Pepper,Local,51678.89,58097.63,54856.34,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,5
2021-05-16,Pepper,Mettupalayam,Black Pepper,Local,53816.0,59341.56,56368.71,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,6
2021-05-17,Pepper,Sulur,Pepper,Local,54578.09,60070.64,57387.34,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,0
2021-05-18,Pepper,Sulur,Black Pepper,Local,52225.14,58540.08,55011.45,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,1
2021-05-19,Pepper,Udumalpet,Black Pepper,Local,54362.99,59672.78,57072.06,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,2
2021-05-20,Pepper,Udumalpet,Black Pepper,Local,53184.3,58850.0,55718.04,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,3
2021-05-21,Pepper,Sulur,Black Pepper,Local,53773.53,58987.14,56125.83,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,4
2021-05-22,Pepper,Mettupalayam,Pepper,Local,53328.25,59717.12,55968.64,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,5
2021-05-23,Pepper,Coimbatore,Pepper,Local,53570.75,60485.92,56755.89,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,6
2021-05-24,Pepper,Sulur,Pepper,Local,52721.25,58418.82,55847.14,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,0
2021-05-25,Pepper,Mettupalayam,Black Pepper,Local,53188.7,60108.02,56379.49,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,1
2021-05-26,Pepper,Pollachi,Pepper,Local,53209.86,59996.33,56344.85,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,2
2021-05-27,Pepper,Pollachi,Pepper,Local,53934.02,60583.97,57068.23,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,3
2021-05-28,Pepper,Sulur,Black Pepper,Local,52079.45,57945.82,54597.3,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,4
2021-05-29,Pepper,Sulur,Pepper,Local,52748.67,59580.49,55851.61,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,5
2021-05-30,Pepper,Mettupalayam,Pepper,Local,50865.35,57380.15,53790.65,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,6
2021-05-31,Pepper,Coimbatore,Black Pepper,Local,53956.11,59867.15,56203.17,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,5,0
2021-06-01,Pepper,Sulur,Pepper,Local,51301.17,57045.25,54344.06,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,1
2021-06-02,Pepper,Coimbatore,Pepper,Local,53185.18,58012.97,55494.05,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,2
2021-06-03,Pepper,Udumalpet,Pepper,Local,54592.62,60877.07,57107.03,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,3
2021-06-04,Pepper,Coimbatore,Black Pepper,Local,52476.6,58304.82,55317.08,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,4
2021-06-05,Pepper,Sulur,Black Pepper,Local,51617.44,56755.64,53844.76,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,5
2021-06-06,Pepper,Pollachi,Black Pepper,Local,52197.68,57659.66,54499.22,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,6
2021-06-07,Pepper,Mettupalayam,Black Pepper,Local,52966.73,59014.27,55450.88,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,0
2021-06-08,Pepper,Coimbatore,Black Pepper,Local,51895.53,56454.76,54026.63,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,1
2021-06-09,Pepper,Mettupalayam,Black Pepper,Local,51269.33,56825.69,54312.21,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,2
2021-06-10,Pepper,Coimbatore,Pepper,Local,51570.63,58348.86,54724.53,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,3
2021-06-11,Pepper,Pollachi,Pepper,Local,54409.12,59615.07,56543.02,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,4
2021-06-12,Pepper,Pollachi,Black Pepper,Local,51038.21,57406.3,54104.1,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,5
2021-06-13,Pepper,Pollachi,Black Pepper,Local,50559.97,55836.53,53098.85,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,6
2021-06-14,Pepper,Udumalpet,Pepper,Local,51478.08,58019.91,54712.39,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,0
2021-06-15,Pepper,Sulur,Pepper,Local,50599.4,56100.1,53039.18,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,1
2021-06-16,Pepper,Sulur,Black Pepper,Local,51390.42,57720.18,54698.63,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,2
2021-06-17,Pepper,Coimbatore,Pepper,Local,51815.21,57933.68,55030.09,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,3
2021-06-18,Pepper,Pollachi,Pepper,Local,51040.94,56580.58,53601.76,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,4
2021-06-19,Pepper,Pollachi,Black Pepper,Local,50790.0,56504.34,53156.15,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,5
2021-06-20,Pepper,Udumalpet,Black Pepper,Local,50445.51,56224.94,52691.4,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,6
2021-06-21,Pepper,Udumalpet,Pepper,Local,53952.97,60250.84,56412.94,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,0
2021-06-22,Pepper,Sulur,Pepper,Local,50803.63,56141.63,53564.72,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,1
2021-06-23,Pepper,Sulur,Black Pepper,Local,50830.06,55986.18,53010.32,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,2
2021-06-24,Pepper,Pollachi,Pepper,Local,50138.92,56474.52,52867.63,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,3
2021-06-25,Pepper,Coimbatore,Black Pepper,Local,48442.66,53965.04,51172.27,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,4
2021-06-26,Pepper,Udumalpet,Black Pepper,Local,50010.49,57055.53,53243.75,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,5
2021-06-27,Pepper,Udumalpet,Pepper,Local,48471.85,54864.55,51287.24,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,6
2021-06-28,Pepper,Coimbatore,Pepper,Local,49532.96,55750.07,52728.07,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,0
2021-06-29,Pepper,Udumalpet,Black Pepper,Local,51087.89,56172.49,53300.5,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,1
2021-06-30,Pepper,Mettupalayam,Black Pepper,Local,50787.37,55961.16,52933.84,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,6,2
2021-07-01,Pepper,Sulur,Pepper,Local,49178.16,55201.23,52457.15,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,7,3
2021-07-02,Pepper,Coimbatore,Black Pepper,Local,48211.23,54151.25,50917.58,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,7,4
2021-07-03,Pepper,Udumalpet,Pepper,Local,47659.17,54569.46,50922.89,INR/quintal,"Coimbatore, Tamil Nadu, India",2021,7,5
